name,latitude,longitude
ПГ по механотехника "Проф. Цв. Лазаров",42.126206,24.7522898
IV ЕГ Жолио Кюри,43.218218,27.9513026
Професионална гимназия по химични и хранително-вкусови технологии "Д. И. Менделеев",43.2187043,27.9530096
ОУ "Христо Ботев",43.7549894,28.1055427
СОУ "Христо Проданов",42.645882,24.7958897
ГПЧЕ "Иван Вазов",42.1559521,24.7164422
Езикова гимназия "Пловдив",42.1559634,24.7163421
ОУ „Чудомир“,42.619616,25.4064178
ОУ Христо Смирненски,43.2183018,27.8245245
ФЕГ „Антоан дьо Сент-Екзюпери”,42.1631371,24.7401166
Училище по сценични изкуства,42.1434865,24.7547908
Средно Общообразователно Училище "Неофит Рилски",42.6997087,25.8926085
ПГВАД "Христо Ботев",42.1420508,24.7396354
ОУ "Христо Смирненски",43.8240905,27.1430481
Международното Френско училище във Варна,43.2294492,28.0069695
ОУ "Никола Вапцаров",42.6266038,25.1625582
44 ОДЗ Калина,42.7404629,23.5082008
ЦДГ,42.7197989,23.5282181
П. Р. Славейков,42.0470443,24.4693193
ОУ "Яне Сандански",42.1255401,24.7419724
1 ОУ,42.8199888,23.2259657
58 ОДЗ,42.7353095,23.4692814
НУ "Братя Миладинови",42.1298371,24.7527576
НУ "Св. Климент Охридски",42.1277099,24.7481689
ОУ "Ангел Кънчев",42.0061624,24.8687889
СОУ "Св. Св. Кирил и Методий",42.0144051,24.8600874
ОУ "Никола Вапцаров",42.0140512,24.8842498
ОУ Отец Паисий,42.0069312,24.8812621
ОУ "Христо Ботев",42.0043201,24.8749576
АМТИ,42.1485457,24.751125
ОУ "Виктория и Крикор Тютюнджан",42.1503224,24.7515735
Жълтото Училище,42.1475867,24.7515831
ОУ "Захари Стоянов",42.1021902,24.7038344
89 ЦДГ,42.7857055,23.2708125
ЧОУ Дъга,42.7115791,23.1403232
ЧНУ Фоти,42.7077388,23.1395202
ЧСУ „Цар Симеон Велики“,42.7097583,23.1866648
181 ЦДГ,42.5375098,23.3696183
152 ОУ,42.6034982,23.175001
182 ЦДГ,42.5432253,23.4942323
131 ЦДГ,42.7312039,23.5541901
НУ Неофит Рилски,42.3378338,23.5516913
ПГ по туризъм сгр.1,42.3382721,23.5528122
НУ Станислав Доспевски,42.3319606,23.5567611
ОУ "Христо Максимов",42.3425958,23.5604549
ОУ Авксентий Велешки,42.3371913,23.5621492
ПГ "Константин Фотинов",42.3345106,23.5591647
119 СУ "Акад. Михаил Арнаудов",42.6748128,23.3538364
Професионална гимназия по фризьорство и козметика "Княгиня Евдокия",42.6724054,23.3547964
Национален център за подготовка на ученици за олимпиади,42.6714627,23.3526789
ЧДГ, ЧОУ, ЧЕГ Д-р Мария Монтесори,42.675618,23.2296279
138 СУ Проф. Васил Златарски,42.6787122,23.3581758
ПГ по строителство, архитектура и геодезия "Васил Левски",43.2279966,27.872539
ПГ по сградостроителство "Кольо Фичето",43.2280724,27.8729324
